"Type","SKU","Name","Published","Catalog visibility","Is featured?","Description","Regular price","Sale price","Manage stock?","Stock","Low stock amount","Backorders allowed?","Categories","Tags","Meta: source_product_id","Meta: source_cost_price","Meta: source_fractional","Meta: source_unit"
"simple","C1100158","Colarinho Dia dos Pais - M1","1","visible","1","<p>Colarinhos pet tamanho M1, confeccionados em tecido de poliéster para finalização profissional de banho e tosa. Possuem acabamento em viés de TNT e fechamento por botão de pressão.</p><p><strong>Conteúdo:</strong> 5 unidades<br/><strong>Tamanho:</strong> M1<br/><strong>Material:</strong> tecido de poliéster<br/><strong>Acabamento:</strong> viés de TNT<br/><strong>Fechamento:</strong> botão de pressão<br/><strong>Estampas:</strong> 5 estampas diferentes, sem repetição</p><p><strong>Observação:</strong> as estampas, cores e tonalidades — inclusive a cor do viés — podem variar conforme o material disponível e o lote de produção.</p>","20.9","","1","1","0","1","COLARINHOS","","0646cb73-35ae-4144-b93b-ae2e55a3cb99","11.64","0",""
"simple","C1100159","Colarinho Dia dos Pais - M2","1","visible","1","<p>Colarinhos pet tamanho M2, confeccionados em tecido de poliéster para finalização profissional de banho e tosa. Possuem acabamento em viés de TNT e fechamento por botão de pressão.</p><p><strong>Conteúdo:</strong> 5 unidades<br/><strong>Tamanho:</strong> M2<br/><strong>Material:</strong> tecido de poliéster<br/><strong>Acabamento:</strong> viés de TNT<br/><strong>Fechamento:</strong> botão de pressão<br/><strong>Estampas:</strong> 5 estampas diferentes, sem repetição</p><p><strong>Observação:</strong> as estampas, cores e tonalidades — inclusive a cor do viés — podem variar conforme o material disponível e o lote de produção.</p>","22.9","","1","3","0","1","COLARINHOS","","7a8aafaf-ce62-4402-9768-c0d96ff32bce","12.81","0",""
"simple","C1100113","Colarinho Feltro - São João","1","visible","1","<p>Colarinhos pet de feltro com temática de São João, pertencentes à linha luxo para finalizações especiais de banho e tosa. São especialmente indicados para banhos completos com hidratação e para fotografias, proporcionando uma apresentação mais sofisticada ao pet.</p><p><strong>Conteúdo:</strong> 2 unidades<br/><strong>Linha:</strong> luxo<br/><strong>Material:</strong> feltro<br/><strong>Cores:</strong> 2 cores diferentes, conforme disponibilidade<br/><strong>Indicação:</strong> finalizações especiais, banhos completos com hidratação e fotografias</p><p><strong>Observação:</strong> as cores e tonalidades podem apresentar pequenas variações conforme o material disponível e o lote de produção.</p>","22.9","","1","7","0","0","FESTA JUNINA","","5e8239fb-fb97-4903-9a31-5bc3bd8ea6f1","10.9","0",""
"simple","C1100018","Laço - Adesivo","1","visible","1","<p>Laços adesivos pet, produzidos em fita de cetim ou gorgurão, indicados para finalização profissional de banho e tosa. Possuem aplique decorativo em EVA e são aplicados diretamente sobre a pelagem do pet.</p><p><strong>Conteúdo:</strong> 10 unidades<br/><strong>Material:</strong> fita de cetim ou gorgurão<br/><strong>Aplique:</strong> EVA<br/><strong>Modelos:</strong> iguais ou mistos, conforme disponibilidade<br/><strong>Aplicação:</strong> diretamente sobre a pelagem do pet</p><p><strong>Fixação e remoção:</strong> fita dupla face de altíssima fixação, que normalmente permanece fixada por 7 a 15 dias, conforme a pelagem e a rotina do pet. Para remover, umedeça com água morna e retire delicadamente, sem puxar os pelos.</p><p><strong>Observação:</strong> os modelos, materiais, cores e tonalidades podem variar conforme a disponibilidade e o lote de produção.</p>","24.9","","1","3","0","1","FESTA JUNINA","","daef17c8-5e74-4acd-abe0-fe8294c702c8","15.34","0",""
"simple","C1100116","Laço Fogueirinha São João - Adesivo","1","visible","1","<p>Laços adesivos pet com temática de São João, produzidos em fita de cetim ou gorgurão para finalização profissional de banho e tosa. Possuem aplique de fogueirinha montado em EVA, com madeirinhas e chama, e são aplicados diretamente sobre a pelagem do pet.</p><p><strong>Conteúdo:</strong> 10 unidades<br/><strong>Tema:</strong> São João<br/><strong>Material:</strong> fita de cetim ou gorgurão<br/><strong>Aplique:</strong> fogueirinha montada em EVA<br/><strong>Aplicação:</strong> diretamente sobre a pelagem do pet</p><p><strong>Fixação e remoção:</strong> fita dupla face de altíssima fixação, que normalmente permanece fixada por 7 a 15 dias, conforme a pelagem e a rotina do pet. Para remover, umedeça com água morna e retire delicadamente, sem puxar os pelos.</p><p><strong>Observação:</strong> as cores e tonalidades podem apresentar pequenas variações conforme o material utilizado e o lote de produção.</p>","24.9","","1","3","0","1","FESTA JUNINA","","e08c0f8d-ab19-48a7-949c-8bcaa24d9423","15.34","0",""
"simple","C1100117","Laço Maçã do Amor - São João - Adesivo","1","visible","1","<p>Laços adesivos pet com temática de São João, produzidos em fita de cetim ou gorgurão para finalização profissional de banho e tosa. Possuem aplique de maçã do amor montado em EVA e são aplicados diretamente sobre a pelagem do pet.</p><p><strong>Conteúdo:</strong> 10 unidades<br/><strong>Tema:</strong> São João<br/><strong>Material:</strong> fita de cetim ou gorgurão<br/><strong>Aplique:</strong> maçã do amor montada em EVA<br/><strong>Aplicação:</strong> diretamente sobre a pelagem do pet</p><p><strong>Fixação e remoção:</strong> fita dupla face de altíssima fixação, que normalmente permanece fixada por 7 a 15 dias, conforme a pelagem e a rotina do pet. Para remover, umedeça com água morna e retire delicadamente, sem puxar os pelos.</p><p><strong>Observação:</strong> as cores e tonalidades podem apresentar pequenas variações conforme o material utilizado e o lote de produção.</p>","24.9","","1","3","0","1","FESTA JUNINA","","906f86d4-58b6-4de6-b8ee-ae7456023ac4","15.34","0",""
"simple","C1100130","Laços Mistos Premium c/ 24","1","hidden","1","Laços Mistos Premium c/ 24","44.9","","1","11","0","0","LAÇOS","","733d4abc-78c3-458b-9a8e-4d32cbef2e1a","31.64","0",""
"simple","C1100127","Passa Fitas Florido c/8","1","visible","1","<p>Passa-fitas pet em EVA colorido, desenvolvidos para finalização profissional de banho e tosa. São utilizados ao redor do pescoço do pet e possuem corte a laser, proporcionando acabamento limpo e bem definido.</p><p><strong>Conteúdo:</strong> 8 unidades<br/><strong>Tamanho:</strong> único<br/><strong>Material:</strong> EVA<br/><strong>Fechamento:</strong> por amarração com fita de cetim<br/><strong>Acabamento:</strong> corte a laser<br/><strong>Cores:</strong> variadas</p><p><strong>Observação:</strong> as cores e tonalidades podem variar conforme a disponibilidade do material e o lote de produção.</p>","27.9","","1","7","0","0","GARGANTILHAS","","4756e2c3-c8ad-4aa2-977f-b602ea7176d3","16.9","0",""
"simple","C1100106","Passa Fitas São João","1","visible","1","<p>Passa-fitas pet em lonita, com estampas e acabamentos temáticos de São João, desenvolvidos para finalização profissional de banho e tosa. São utilizados ao redor do pescoço do pet e possuem corte a laser, proporcionando acabamento limpo e bem definido.</p><p><strong>Conteúdo:</strong> 8 unidades<br/><strong>Tamanho:</strong> único<br/><strong>Material:</strong> lonita<br/><strong>Tema:</strong> São João<br/><strong>Modelos:</strong> sortidos<br/><strong>Apliques e laços:</strong> variados dentro da temática<br/><strong>Fechamento:</strong> por amarração com fita de cetim<br/><strong>Acabamento:</strong> corte a laser</p><p><strong>Observação:</strong> as estampas, os modelos, os apliques, as cores e tonalidades podem variar conforme a disponibilidade do material e o lote de produção.</p>","27.9","","1","8","0","1","FESTA JUNINA","","153cee59-8ab1-4bf4-8982-0e89bde40308","16.36","0",""
"simple","C1100156","Adesivo abelinha","1","hidden","0","Adesivo abelinha","13.9","","1","6","0","0","Outros","","d15cf9df-1075-4171-bdaf-1e1d4f512cb2","6.5","0",""
"simple","C1100119","Adesivo Bola Rei","1","hidden","0","Adesivo Bola Rei","14.9","","1","-1","0","1","ADESIVOS","","e3744544-011e-4f1c-b14e-e352582e7255","6.68","0",""
"simple","C1100002","Adesivo coração C/ 40","1","hidden","0","Adesivo pet em formato de coração pequeno, confeccionado em EVA, desenvolvido para proporcionar uma finalização delicada, prática e encantadora após o banho e tosa.  Com alta fixação e excelente apresentação, é ideal para pet shops, centros de estética animal e profissionais que desejam oferecer um acessório rápido de aplicar, bonito e com maior durabilidade no pelo do pet.  ✅ Formato de coração pequeno ✅ Confeccionado em EVA ✅ Adesivo de alta fixação ✅ Aplicação prática e rápida ✅ Leve, delicado e confortável ✅ Modelo exatamente igual ao das fotos ✅ Ideal para fotos, entregas e finalização de banho e tosa ✅ Excelente opção para valorizar o atendimento e encantar os tutores  Conteúdo da embalagem: 40 adesivos coração pequeno em EVA.  Modelos Cores: O modelo é exatamente igual ao apresentado nas fotos. As cores são enviadas conforme disponibilidade em estoque no momento da separação do pedido.  Observação importante: Oriente o tutor a retirar o adesivo com água morna, umedecendo bem a região antes da remoção. Não é recomendado puxar o adesivo diretamente, pois isso pode danificar ou arrancar os pelos do pet.  Produto desenvolvido pela Autelie Moda Pet, especialista em acessórios para banho e tosa, com foco em qualidade, beleza e apresentação profissional.","15.9","","1","4","0","1","ADESIVOS","","b5ae9879-da1b-42aa-a8d2-e22846acb995","5.59","0",""
"simple","C1100003","Adesivo Coração Feliz c/ 12","1","hidden","0","Adesivo pet em formato de coração pequeno, confeccionado em EVA, desenvolvido para proporcionar uma finalização delicada, prática e encantadora após o banho e tosa.  Com alta fixação e excelente apresentação, é ideal para pet shops, centros de estética animal e profissionais que desejam oferecer um acessório rápido de aplicar, bonito e com maior durabilidade no pelo do pet.  ✅ Formato de coração pequeno ✅ Confeccionado em EVA ✅ Adesivo de alta fixação ✅ Aplicação prática e rápida ✅ Leve, delicado e confortável ✅ Modelo exatamente igual ao das fotos ✅ Ideal para fotos, entregas e finalização de banho e tosa ✅ Excelente opção para valorizar o atendimento e encantar os tutores  Conteúdo da embalagem: 40 adesivos coração pequeno em EVA.  Modelos Cores: O modelo é exatamente igual ao apresentado nas fotos. As cores são enviadas conforme disponibilidade em estoque no momento da separação do pedido.  Observação importante: Oriente o tutor a retirar o adesivo com água morna, umedecendo bem a região antes da remoção. Não é recomendado puxar o adesivo diretamente, pois isso pode danificar ou arrancar os pelos do pet.  Produto desenvolvido pela Autelie Moda Pet, especialista em acessórios para banho e tosa, com foco em qualidade, beleza e apresentação profissional.","15.9","","1","0","0","1","ADESIVOS","","0dc480e2-ef79-4a88-80ac-c6406f11f029","5.59","0",""
"simple","C1100014","Adesivo Estrelinhas Copa","1","hidden","0","Adesivo Estrelinhas Copa","11.9","","1","15","0","1","ADESIVOS","","2dd3eefa-fb91-4eee-b7b4-08b325c56bd9","6.68","0",""
"simple","C1100004","Adesivo Helicóptero","1","hidden","0","Adesivos pet confeccionados em EVA, desenvolvidos para proporcionar uma finalização prática, bonita e encantadora após o banho e tosa.  Com alta fixação e excelente apresentação, são ideais para pet shops, centros de estética animal e profissionais que desejam oferecer um acessório rápido de aplicar, com ótimo acabamento e maior durabilidade no pelo do pet.  ✅ Confeccionados em EVA ✅ Adesivo de alta fixação ✅ Aplicação prática e rápida ✅ Leves, delicados e confortáveis ✅ Modelos exatamente iguais aos das fotos ✅ Ideais para fotos, entregas e finalização de banho e tosa ✅ Excelente opção para valorizar o atendimento e encantar os tutores  Conteúdo da embalagem: 12 adesivos em EVA.  Modelos Cores: Os modelos são exatamente iguais aos apresentados nas fotos. As cores são enviadas conforme disponibilidade em estoque no momento da separação do pedido.  Observação importante: Oriente o tutor a retirar o adesivo com água morna, umedecendo bem a região antes da remoção. Não é recomendado puxar o adesivo diretamente, pois isso pode danificar ou arrancar os pelos do pet.  Produto desenvolvido pela Autelie Moda Pet, especialista em acessórios para banho e tosa, com foco em qualidade, beleza e apresentação profissional.","13.9","","1","0","0","1","ADESIVOS","","b21659b7-cea0-43c1-8580-5fb6f9e94a9f","5.59","0",""
"simple","C1100005","Adesivo Hello Borboleta","1","hidden","0","Adesivo Hello Borboleta","14.9","","1","0","0","1","ADESIVOS","","670cb7ac-3c50-4e6d-8fa9-768dad584cfb","2.9","0",""
"simple","C1100007","Adesivo Joaninha","1","hidden","0","Adesivo pet modelo joaninha, confeccionado em EVA, desenvolvido para proporcionar uma finalização delicada, divertida e encantadora após o banho e tosa.  Com alta fixação e excelente apresentação, é ideal para pet shops, centros de estética animal e profissionais que desejam oferecer um acessório rápido de aplicar, bonito e com maior durabilidade no pelo do pet.  ✅ Modelo joaninha ✅ Confeccionado em EVA ✅ Adesivo de alta fixação ✅ Aplicação prática e rápida ✅ Leve, delicado e confortável ✅ Modelo exatamente igual ao das fotos ✅ Ideal para fotos, entregas e finalização de banho e tosa ✅ Excelente opção para valorizar o atendimento e encantar os tutores  Conteúdo da embalagem: 10 adesivos joaninha em EVA.  Modelos Cores: O modelo é exatamente igual ao apresentado nas fotos. As cores são enviadas conforme disponibilidade em estoque no momento da separação do pedido.   Observação importante: Oriente o tutor a retirar o adesivo com água morna, umedecendo bem a região antes da remoção. Não é recomendado puxar o adesivo diretamente, pois isso pode danificar ou arrancar os pelos do pet.   Produto desenvolvido pela Autelie Moda Pet, especialista em acessórios para banho e tosa, com foco em qualidade, beleza e apresentação profissional.","15.9","","1","0","0","1","ADESIVOS","","2253d4ed-30ea-4f57-9d1a-1e7b2655ce9a","5.59","0",""
"simple","C1100145","Adesivo Leãozinho C/10","1","visible","0","<p>Adesivos pet em EVA, modelo leãozinho, desenvolvidos para finalização profissional de banho e tosa. Produzidos com recortes sobrepostos e montagem em camadas, possuem acabamento detalhado e bem definido.</p><p><strong>Conteúdo:</strong> 10 unidades<br/><strong>Modelo:</strong> leãozinho<br/><strong>Material:</strong> EVA<br/><strong>Composição do pacote:</strong> todos os adesivos são iguais<br/><strong>Acabamento:</strong> montagem em camadas<br/><strong>Aplicação:</strong> diretamente sobre a pelagem do pet</p><p><strong>Fixação e remoção:</strong> fita dupla face de altíssima fixação, que normalmente permanece fixada por 7 a 15 dias, conforme a pelagem e a rotina do pet. Para remover, umedeça com água morna e retire delicadamente, sem puxar os pelos.</p><p><strong>Observação:</strong> as cores e tonalidades podem apresentar pequenas variações conforme o material utilizado e o lote de produção.</p>","13.9","","1","3","0","0","ADESIVOS","","3288369b-b675-4c5d-846f-ede7b1f9f2d1","6","0",""
"simple","C1100008","Adesivo Morcego C/ 10","1","visible","0","<p>Adesivos pet em EVA, modelo morcego, desenvolvidos para finalização profissional de banho e tosa.</p><p><strong>Conteúdo:</strong> 10 unidades<br/><strong>Modelo:</strong> morcego<br/><strong>Material:</strong> EVA<br/><strong>Cores:</strong> fundo amarelo com detalhes pretos<br/><strong>Composição do pacote:</strong> todos os adesivos são iguais<br/><strong>Aplicação:</strong> diretamente sobre a pelagem do pet</p><p><strong>Fixação e remoção:</strong> fita dupla face de altíssima fixação, que normalmente permanece fixada por 7 a 15 dias, conforme a pelagem e a rotina do pet. Para remover, umedeça com água morna e retire delicadamente, sem puxar os pelos.</p><p><strong>Observação:</strong> as tonalidades podem apresentar pequenas variações conforme o material utilizado e o lote de produção.</p>","13.9","","1","9","0","1","ADESIVOS","","6b64434d-dac5-4800-9fd4-16366ede940d","5.59","0",""
"simple","C1100009","Adesivo Mouse C/ 40","1","hidden","0","Adesivo pet em formato de coração pequeno, confeccionado em EVA, desenvolvido para proporcionar uma finalização delicada, prática e encantadora após o banho e tosa.  Com alta fixação e excelente apresentação, é ideal para pet shops, centros de estética animal e profissionais que desejam oferecer um acessório rápido de aplicar, bonito e com maior durabilidade no pelo do pet.  ✅ Formato de coração pequeno ✅ Confeccionado em EVA ✅ Adesivo de alta fixação ✅ Aplicação prática e rápida ✅ Leve, delicado e confortável ✅ Modelo exatamente igual ao das fotos ✅ Ideal para fotos, entregas e finalização de banho e tosa ✅ Excelente opção para valorizar o atendimento e encantar os tutores  Conteúdo da embalagem: 40 adesivos coração pequeno em EVA.  Modelos Cores: O modelo é exatamente igual ao apresentado nas fotos. As cores são enviadas conforme disponibilidade em estoque no momento da separação do pedido.  Observação importante: Oriente o tutor a retirar o adesivo com água morna, umedecendo bem a região antes da remoção. Não é recomendado puxar o adesivo diretamente, pois isso pode danificar ou arrancar os pelos do pet.  Produto desenvolvido pela Autelie Moda Pet, especialista em acessórios para banho e tosa, com foco em qualidade, beleza e apresentação profissional.","14.9","","1","26","0","1","ADESIVOS","","bae9d1a8-d46e-4649-b3f9-b79da18ac14e","5.74","0",""
"simple","C1100010","Adesivo ratinha","1","hidden","0","Adesivo pet modelo Minnie Premium, confeccionado em EVA, desenvolvido para proporcionar uma finalização delicada, charmosa e encantadora após o banho e tosa.  Com alta fixação e excelente apresentação, é ideal para pet shops, centros de estética animal e profissionais que desejam oferecer um acessório diferenciado, rápido de aplicar, bonito e com maior durabilidade no pelo do pet.  ✅ Modelo Minnie Premium ✅ Confeccionado em EVA ✅ Adesivo de alta fixação ✅ Aplicação prática e rápida ✅ Leve, delicado e confortável ✅ Modelo exatamente igual ao das fotos ✅ Ideal para fotos, entregas e finalização de banho e tosa ✅ Excelente opção para valorizar o atendimento e encantar os tutores  Conteúdo da embalagem: 6 adesivos Minnie Premium em EVA.  Modelos Cores: O modelo é exatamente igual ao apresentado nas fotos. As cores são enviadas conforme disponibilidade em estoque no momento da separação do pedido.  Observação importante: Oriente o tutor a retirar o adesivo com água morna, umedecendo bem a região antes da remoção. Não é recomendado puxar o adesivo diretamente, pois isso pode danificar ou arrancar os pelos do pet.  Produto desenvolvido pela Autelie Moda Pet, especialista em acessórios para banho e tosa, com foco em qualidade, beleza e apresentação profissional.","10.9","","1","1","0","1","ADESIVOS","","341f04ba-e2d1-45f7-8fa3-657f151b9400","5.14","0",""
"simple","C1100128","Adesivo Ratinha C/ 10","1","hidden","0","Adesivo Ratinha C/ 10","15.9","","1","7","0","0","ADESIVOS","","133dc3af-2a8f-4e90-ac68-461aeb48bb3b","5.6","0",""
"simple","C1100011","Adesivo Super C/ 10","1","visible","0","<p>Adesivos pet em EVA, modelo Super, desenvolvidos para finalização profissional de banho e tosa.</p><p><strong>Conteúdo:</strong> 10 unidades<br/><strong>Modelo:</strong> Super<br/><strong>Material:</strong> EVA<br/><strong>Cores:</strong> amarelo e vermelho<br/><strong>Composição do pacote:</strong> todos os adesivos são iguais<br/><strong>Aplicação:</strong> diretamente sobre a pelagem do pet</p><p><strong>Fixação e remoção:</strong> fita dupla face de altíssima fixação, que normalmente permanece fixada por 7 a 15 dias, conforme a pelagem e a rotina do pet. Para remover, umedeça com água morna e retire delicadamente, sem puxar os pelos.</p><p><strong>Observação:</strong> as tonalidades podem apresentar pequenas variações conforme o material utilizado e o lote de produção.</p>","13.9","","1","3","0","1","ADESIVOS","","52a41a60-4103-4300-90fe-d36c2cde4b3f","5.59","0",""
